cityname;countrycode;countrycode_iso3
abejorral;CO;COL
abrego;CO;COL
abriaqui;CO;COL
acacias;CO;COL
acandi;CO;COL
acevedo;CO;COL
achi;CO;COL
agrado;CO;COL
agua de dios;CO;COL
aguachica;CO;COL
aguazul;CO;COL
agustin codazzi;CO;COL
aipe;CO;COL
algarrobo;CO;COL
almaguer;CO;COL
alpujarra;CO;COL
altamira;CO;COL
alto baudo;CO;COL
altos del rosario;CO;COL
amaga;CO;COL
amalfi;CO;COL
ambalema;CO;COL
anapoima;CO;COL
ancuya;CO;COL
angelopolis;CO;COL
angostura;CO;COL
anolaima;CO;COL
anori;CO;COL
anserma;CO;COL
ansermanuevo;CO;COL
anzoategui;CO;COL
apia;CO;COL
apulo;CO;COL
aquitania;CO;COL
aracataca;CO;COL
aratoca;CO;COL
arauca;CO;COL
arauquita;CO;COL
arboletes;CO;COL
arcabuco;CO;COL
ariguani;CO;COL
armenia;CO;COL
armero;CO;COL
arroyohondo;CO;COL
astrea;CO;COL
ataco;CO;COL
atrato;CO;COL
ayapel;CO;COL
bagado;CO;COL
bahia solano;CO;COL
bajo baudo;CO;COL
balboa;CO;COL
baranoa;CO;COL
baraya;CO;COL
barichara;CO;COL
barranca de upia;CO;COL
barrancabermeja;CO;COL
barrancas;CO;COL
barranco de loba;CO;COL
barranco minas;CO;COL
barranquilla;CO;COL
becerril;CO;COL
belalcazar;CO;COL
belen de bajira;CO;COL
belen de los andaquies;CO;COL
belen de umbria;CO;COL
belmira;CO;COL
berbeo;CO;COL
beteitiva;CO;COL
bituima;CO;COL
boavita;CO;COL
bochalema;CO;COL
bogota;CO;COL
bojaca;CO;COL
bojaya;CO;COL
bosconia;CO;COL
boyaca;CO;COL
briceno;CO;COL
bucaramanga;CO;COL
bucarasica;CO;COL
buenaventura;CO;COL
buesaco;CO;COL
buga;CO;COL
bugalagrande;CO;COL
busbanza;CO;COL
cabuyaro;CO;COL
cacahual;CO;COL
caceres;CO;COL
cachipay;CO;COL
cachira;CO;COL
cacota;CO;COL
caicedonia;CO;COL
caimito;CO;COL
cajamarca;CO;COL
cajibio;CO;COL
cajica;CO;COL
calamar;CO;COL
calarca;CO;COL
caldas;CO;COL
caldono;CO;COL
cali;CO;COL
calima;CO;COL
caloto;CO;COL
campo de la cruz;CO;COL
campoalegre;CO;COL
campohermoso;CO;COL
canasgordas;CO;COL
cantagallo;CO;COL
caparrapi;CO;COL
capitanejo;CO;COL
caqueza;CO;COL
caracoli;CO;COL
caramanta;CO;COL
carcasi;CO;COL
carepa;CO;COL
carmen de apicala;CO;COL
carmen de carupa;CO;COL
carmen del darien;CO;COL
cartagena;CO;COL
cartagena del chaira;CO;COL
cartago;CO;COL
caruru;CO;COL
casabianca;CO;COL
castilla la nueva;CO;COL
caucasia;CO;COL
cepita;CO;COL
cerete;CO;COL
cerinza;CO;COL
cerrito;CO;COL
cerro san antonio;CO;COL
certegui;CO;COL
chachagui;CO;COL
chaguani;CO;COL
chalan;CO;COL
chameza;CO;COL
chaparral;CO;COL
charala;CO;COL
charta;CO;COL
chia;CO;COL
chigorodo;CO;COL
chima;CO;COL
chimichagua;CO;COL
chinacota;CO;COL
chinavita;CO;COL
chinchina;CO;COL
chinu;CO;COL
chipaque;CO;COL
chipata;CO;COL
chiquinquira;CO;COL
chiquiza;CO;COL
chiriguana;CO;COL
chiscas;CO;COL
chita;CO;COL
chitaga;CO;COL
chitaraque;CO;COL
chivata;CO;COL
chivolo;CO;COL
chivor;CO;COL
choachi;CO;COL
choconta;CO;COL
cicuco;CO;COL
cienaga de oro;CO;COL
cienega;CO;COL
cimitarra;CO;COL
circasia;CO;COL
cisneros;CO;COL
cocorna;CO;COL
coello;CO;COL
cogua;CO;COL
coloso;CO;COL
combita;CO;COL
concordia;CO;COL
condoto;CO;COL
confines;CO;COL
consaca;CO;COL
contadero;CO;COL
coper;CO;COL
coromoro;CO;COL
corozal;CO;COL
cota;CO;COL
covarachia;CO;COL
covenas;CO;COL
coyaima;CO;COL
cravo norte;CO;COL
cuaspud;CO;COL
cubara;CO;COL
cubarral;CO;COL
cucaita;CO;COL
cucunuba;CO;COL
cucuta;CO;COL
cucutilla;CO;COL
cuitiva;CO;COL
cumaral;CO;COL
cumaribo;CO;COL
cumbal;CO;COL
cumbitara;CO;COL
cunday;CO;COL
curillo;CO;COL
curiti;CO;COL
curumani;CO;COL
dabeiba;CO;COL
dagua;CO;COL
dibula;CO;COL
don matias;CO;COL
dosquebradas;CO;COL
duitama;CO;COL
durania;CO;COL
ebejico;CO;COL
el canton del san pablo;CO;COL
el carmen de atrato;CO;COL
el carmen de bolivar;CO;COL
el carmen de chucuri;CO;COL
el carmen de viboral;CO;COL
el cocuy;CO;COL
el copey;CO;COL
el doncello;CO;COL
el dorado;CO;COL
el dovio;CO;COL
el espino;CO;COL
el guamo;CO;COL
el litoral del san juan;CO;COL
el paujil;CO;COL
el penol;CO;COL
el penon;CO;COL
el pinon;CO;COL
el playon;CO;COL
el tablon de gomez;CO;COL
el tambo;CO;COL
el tarra;CO;COL
encino;CO;COL
entrerrios;CO;COL
envigado;CO;COL
espinal;CO;COL
facatativa;CO;COL
falan;CO;COL
filandia;CO;COL
firavitoba;CO;COL
flandes;CO;COL
floridablanca;CO;COL
fortul;CO;COL
fosca;CO;COL
fredonia;CO;COL
fresno;CO;COL
frontino;CO;COL
fuente de oro;CO;COL
funes;CO;COL
funza;CO;COL
fuquene;CO;COL
fusagasuga;CO;COL
gachala;CO;COL
gachancipa;CO;COL
gachantiva;CO;COL
gacheta;CO;COL
galapa;CO;COL
galeras;CO;COL
gambita;CO;COL
gameza;CO;COL
garagoa;CO;COL
ginebra;CO;COL
girardot;CO;COL
girardota;CO;COL
gramalote;CO;COL
guacari;CO;COL
guachene;CO;COL
guacheta;CO;COL
guachucal;CO;COL
guadalajara de buga;CO;COL
guaitarilla;CO;COL
gualmatan;CO;COL
guamal;CO;COL
guamo;CO;COL
guapota;CO;COL
guarne;CO;COL
guasca;CO;COL
guatape;CO;COL
guataqui;CO;COL
guatavita;CO;COL
guateque;CO;COL
guatica;CO;COL
guavata;CO;COL
guayabal de siquima;CO;COL
guayabetal;CO;COL
guayata;CO;COL
guepsa;CO;COL
guican;CO;COL
hacari;CO;COL
hatillo de loba;CO;COL
hato corozal;CO;COL
hatonuevo;CO;COL
heliconia;CO;COL
herveo;CO;COL
hobo;CO;COL
ibague;CO;COL
icononzo;CO;COL
imues;CO;COL
inirida;CO;COL
inza;CO;COL
ipiales;CO;COL
iquira;CO;COL
isnos;CO;COL
istmina;CO;COL
itagui;CO;COL
ituango;CO;COL
jambalo;CO;COL
jamundi;CO;COL
jenesano;CO;COL
la calera;CO;COL
la celia;CO;COL
la jagua de ibirico;CO;COL
la jagua del pilar;CO;COL
la tebaida;CO;COL
la tola;CO;COL
la vega;CO;COL
labateca;CO;COL
labranzagrande;CO;COL
landazuri;CO;COL
lebrija;CO;COL
lenguazaque;CO;COL
liborina;CO;COL
lorica;CO;COL
los cordobas;CO;COL
luruaco;CO;COL
macanal;CO;COL
macaravita;CO;COL
maceo;CO;COL
macheta;CO;COL
magangue;CO;COL
magui;CO;COL
mahates;CO;COL
maicao;CO;COL
majagual;CO;COL
malambo;CO;COL
mallama;CO;COL
manati;CO;COL
manaure;CO;COL
manizales;CO;COL
manzanares;CO;COL
mapiripan;CO;COL
mapiripana;CO;COL
maria la baja;CO;COL
marinilla;CO;COL
maripi;CO;COL
mariquita;CO;COL
marmato;CO;COL
marquetalia;CO;COL
matanza;CO;COL
medellin;CO;COL
medio atrato;CO;COL
medio baudo;CO;COL
medio san juan;CO;COL
melgar;CO;COL
mercaderes;CO;COL
mesetas;CO;COL
miraflores;CO;COL
miriti parana;CO;COL
mistrato;CO;COL
mitu;CO;COL
mocoa;CO;COL
mogotes;CO;COL
molagavita;CO;COL
momil;CO;COL
mompos;CO;COL
mongua;CO;COL
mongui;CO;COL
moniquira;CO;COL
montebello;CO;COL
montelibano;CO;COL
monteria;CO;COL
morichal;CO;COL
morroa;CO;COL
motavita;CO;COL
murindo;CO;COL
mutata;CO;COL
mutiscua;CO;COL
muzo;CO;COL
nataga;CO;COL
natagaima;CO;COL
nechi;CO;COL
necocli;CO;COL
neiva;CO;COL
nemocon;CO;COL
nimaima;CO;COL
nobsa;CO;COL
nocaima;CO;COL
norcasia;CO;COL
norosi;CO;COL
novita;CO;COL
nueva granada;CO;COL
nuevo colon;CO;COL
nunchia;CO;COL
nuqui;CO;COL
ocamonte;CO;COL
ocana;CO;COL
oiba;CO;COL
oicata;CO;COL
olaya herrera;CO;COL
onzaga;CO;COL
oporapa;CO;COL
orito;CO;COL
orocue;CO;COL
otanche;CO;COL
pachavita;CO;COL
pacoa;CO;COL
paicol;CO;COL
paime;CO;COL
paipa;CO;COL
palmar de varela;CO;COL
palmas del socorro;CO;COL
palmira;CO;COL
palmito;CO;COL
palocabildo;CO;COL
pamplona;CO;COL
pamplonita;CO;COL
pandi;CO;COL
papunahua;CO;COL
paratebueno;CO;COL
pasca;CO;COL
patia;CO;COL
pauna;CO;COL
paz de ariporo;CO;COL
paz de rio;CO;COL
pedraza;CO;COL
pelaya;CO;COL
penol;CO;COL
pereira;CO;COL
pesca;CO;COL
piamonte;CO;COL
piedecuesta;CO;COL
piendamo;CO;COL
pijao;CO;COL
pijino del carmen;CO;COL
pinchote;CO;COL
pisba;CO;COL
pital;CO;COL
pitalito;CO;COL
pivijay;CO;COL
planeta rica;CO;COL
polonuevo;CO;COL
ponedera;CO;COL
popayan;CO;COL
pore;CO;COL
pueblo bello;CO;COL
pueblo nuevo;CO;COL
pueblo rico;CO;COL
pueblo viejo;CO;COL
pueblorrico;CO;COL
puente nacional;CO;COL
puerres;CO;COL
puerto alegria;CO;COL
puerto arica;CO;COL
puerto asis;CO;COL
puerto berrio;CO;COL
puerto boyaca;CO;COL
puerto caicedo;CO;COL
puerto carreno;CO;COL
puerto colombia;CO;COL
puerto concordia;CO;COL
puerto escondido;CO;COL
puerto gaitan;CO;COL
puerto guzman;CO;COL
puerto libertador;CO;COL
puerto lleras;CO;COL
puerto lopez;CO;COL
puerto nare;CO;COL
puerto narino;CO;COL
puerto parra;CO;COL
puerto rondon;CO;COL
puerto salgar;CO;COL
puerto santander;CO;COL
puerto tejada;CO;COL
puerto triunfo;CO;COL
puerto wilches;CO;COL
puli;CO;COL
pupiales;CO;COL
purace;CO;COL
quebradanegra;CO;COL
quetame;CO;COL
quibdo;CO;COL
quimbaya;CO;COL
quinchia;CO;COL
quipama;CO;COL
quipile;CO;COL
ragonvalia;CO;COL
ramiriqui;CO;COL
raquira;CO;COL
recetor;CO;COL
repelon;CO;COL
restrepo;CO;COL
rio blanco;CO;COL
rio de oro;CO;COL
rio iro;CO;COL
rio quito;CO;COL
rio viejo;CO;COL
riofrio;CO;COL
riohacha;CO;COL
rionegro;CO;COL
riosucio;CO;COL
risaralda;CO;COL
roberto payan;CO;COL
roldanillo;CO;COL
roncesvalles;CO;COL
sabana de torres;CO;COL
sabanagrande;CO;COL
sabanalarga;CO;COL
sabanas de san angel;CO;COL
sabaneta;CO;COL
saboya;CO;COL
sacama;CO;COL
sachica;CO;COL
sahagun;CO;COL
saladoblanco;CO;COL
salamina;CO;COL
saldana;CO;COL
salento;CO;COL
salgar;CO;COL
samaca;CO;COL
samaniego;CO;COL
sampues;CO;COL
san andres;CO;COL
san andres de cuerquia;CO;COL
san andres de tumaco;CO;COL
san andres sotavento;CO;COL
san antero;CO;COL
san antonio del tequendama;CO;COL
san benito abad;CO;COL
san bernardo del viento;CO;COL
san calixto;CO;COL
san carlos de guaroa;CO;COL
san cayetano;CO;COL
san estanislao;CO;COL
san gil;CO;COL
san jacinto del cauca;CO;COL
san jose de la montana;CO;COL
san jose de miranda;CO;COL
san jose de pare;CO;COL
san jose de ure;CO;COL
san jose del fragua;CO;COL
san jose del guaviare;CO;COL
san jose del palmar;CO;COL
san juan de arama;CO;COL
san juan de betulia;CO;COL
san juan de rio seco;CO;COL
san juan de uraba;CO;COL
san juan del cesar;CO;COL
san luis de gaceno;CO;COL
san luis de since;CO;COL
san martin de loba;CO;COL
san miguel de sema;CO;COL
san onofre;CO;COL
san pablo de borbur;CO;COL
san pedro de cartago;CO;COL
san pedro de uraba;CO;COL
san pelayo;CO;COL
san sebastian de buenavista;CO;COL
san vicente de chucuri;CO;COL
san vicente del caguan;CO;COL
san zenon;CO;COL
sandona;CO;COL
santa barbara de pinto;CO;COL
santa helena del opon;CO;COL
santa marta;CO;COL
santa rosa de cabal;CO;COL
santa rosa de osos;CO;COL
santa rosa de viterbo;CO;COL
santa rosa del sur;CO;COL
santafe de antioquia;CO;COL
santander de quilichao;CO;COL
santiago de tolu;CO;COL
sapuyes;CO;COL
saravena;CO;COL
sardinata;CO;COL
sasaima;CO;COL
sativanorte;CO;COL
sativasur;CO;COL
sesquile;CO;COL
siachoque;CO;COL
sibate;CO;COL
sibundoy;CO;COL
silvania;CO;COL
simacota;CO;COL
simijaca;CO;COL
simiti;CO;COL
sincelejo;CO;COL
sitionuevo;CO;COL
soacha;CO;COL
soata;CO;COL
socha;CO;COL
socota;CO;COL
sogamoso;CO;COL
somondoco;CO;COL
sonson;CO;COL
sopetran;CO;COL
soplaviento;CO;COL
sopo;CO;COL
soraca;CO;COL
sotaquira;CO;COL
sotara;CO;COL
suaita;CO;COL
subachoque;CO;COL
suesca;CO;COL
supata;CO;COL
supia;CO;COL
surata;CO;COL
susacon;CO;COL
sutamarchan;CO;COL
sutatausa;CO;COL
sutatenza;CO;COL
tabio;CO;COL
talaigua nuevo;CO;COL
tamalameque;CO;COL
tame;CO;COL
taminango;CO;COL
tangua;CO;COL
taraira;CO;COL
tarapaca;CO;COL
taraza;CO;COL
tarqui;CO;COL
tasco;CO;COL
tauramena;CO;COL
tausa;CO;COL
tenjo;CO;COL
tenza;CO;COL
teruel;CO;COL
tesalia;CO;COL
tibacuy;CO;COL
tibana;CO;COL
tibasosa;CO;COL
tibirita;CO;COL
tibu;CO;COL
tierralta;CO;COL
timana;CO;COL
timbio;CO;COL
timbiqui;CO;COL
tinjaca;CO;COL
tipacoque;CO;COL
tiquisio;CO;COL
titiribi;CO;COL
tocaima;CO;COL
tocancipa;CO;COL
togui;CO;COL
tolu viejo;CO;COL
topaga;CO;COL
topaipi;CO;COL
toribio;CO;COL
tota;CO;COL
totoro;CO;COL
trujillo;CO;COL
tubara;CO;COL
tuchin;CO;COL
tulua;CO;COL
tumaco;CO;COL
tunja;CO;COL
tunungua;CO;COL
tuquerres;CO;COL
turbaco;CO;COL
turbana;CO;COL
turmeque;CO;COL
tuta;CO;COL
tutaza;CO;COL
ubala;CO;COL
ubaque;CO;COL
umbita;CO;COL
unguia;CO;COL

uramita;CO;COL
uribia;CO;COL
urrao;CO;COL
urumita;CO;COL
usiacuri;CO;COL
utica;CO;COL
valle de guamez;CO;COL
valle de san jose;CO;COL
valle de san juan;CO;COL
valledupar;CO;COL
vegachi;CO;COL
venadillo;CO;COL
ventaquemada;CO;COL
viani;CO;COL
vigia del fuerte;CO;COL
villa caro;CO;COL
villa de leyva;CO;COL
villa de san diego de ubate;CO;COL
villa del rosario;CO;COL
villa rica;CO;COL
villagarzon;CO;COL
villagomez;CO;COL
villahermosa;CO;COL
villamaria;CO;COL
villanueva;CO;COL
villapinzon;CO;COL
villarrica;CO;COL
villavicencio;CO;COL
villavieja;CO;COL
villeta;CO;COL
viota;CO;COL
viracacha;CO;COL
vista hermosa;CO;COL
viterbo;CO;COL
yacopi;CO;COL
yacuanquer;CO;COL
yaguara;CO;COL
yarumal;CO;COL
yavarate;CO;COL
yolombo;CO;COL
yondo;CO;COL
yopal;CO;COL
yotoco;CO;COL
yumbo;CO;COL
zapatoca;CO;COL
zapayan;CO;COL
zaragoza;CO;COL
zarzal;CO;COL
zetaquira;CO;COL
zipacon;CO;COL
zipaquira;CO;COL
zona bananera;CO;COL
alausi;EC;ECU
ambato;EC;ECU
archidona;EC;ECU
atuntaqui;EC;ECU
azogues;EC;ECU
babahoyo;EC;ECU
bahia de caraquez;EC;ECU
balao;EC;ECU
boca suno;EC;ECU
cariamanga;EC;ECU
catacocha;EC;ECU
catamayo;EC;ECU
catarama;EC;ECU
cayambe;EC;ECU
chone;EC;ECU
colimes;EC;ECU
cotacachi;EC;ECU
cuenca;EC;ECU
eloy alfaro;EC;ECU
gualaceo;EC;ECU
guaranda;EC;ECU
guayaquil;EC;ECU
huaquillas;EC;ECU
jipijapa;EC;ECU
latacunga;EC;ECU
loja;EC;ECU
lomas de sargentillo;EC;ECU
macara;EC;ECU
macas;EC;ECU
machachi;EC;ECU
machala;EC;ECU
montecristi;EC;ECU
muisne;EC;ECU
nueva loja;EC;ECU
otavalo;EC;ECU
oyambarillo;EC;ECU
pajan;EC;ECU
pelileo;EC;ECU
pimampiro;EC;ECU
portovelo;EC;ECU
portoviejo;EC;ECU
puerto ayora;EC;ECU
puerto bolivar;EC;ECU
puerto francisco de orellana;EC;ECU
pujili;EC;ECU
quito;EC;ECU
riobamba;EC;ECU
rocafuerte;EC;ECU
rosa zarate;EC;ECU
samborondon;EC;ECU
san lorenzo de esmeraldas;EC;ECU
san miguel de salcedo;EC;ECU
santo domingo de los colorados;EC;ECU
sucua;EC;ECU
tosagua;EC;ECU
tulcan;EC;ECU
vinces;EC;ECU
yaguachi nuevo;EC;ECU
yantzaza;EC;ECU
zaruma;EC;ECU
alto boquete;PA;PAN
alto del espino;PA;PAN
altos de san francisco;PA;PAN
arraijan;PA;PAN
bocas del toro;PA;PAN
bugaba;PA;PAN
canazas;PA;PAN
canto del llano;PA;PAN
capira;PA;PAN
cativa;PA;PAN
changuinola;PA;PAN
chigore;PA;PAN
chilibre;PA;PAN
curundu;PA;PAN
gatuncillo;PA;PAN
gonzalillo;PA;PAN
gualaca;PA;PAN
guarare;PA;PAN
la cabima;PA;PAN
los algarrobos;PA;PAN
los algarrobos arriba;PA;PAN
monagrillo;PA;PAN
nueva gorgona;PA;PAN
nuevo arraijan;PA;PAN
nuevo belen;PA;PAN
pacora;PA;PAN
panama;PA;PAN
parita;PA;PAN
parque lefevre;PA;PAN
penonome;PA;PAN
pocri;PA;PAN
puerto armuelles;PA;PAN
puerto caimito;PA;PAN
puerto pilon;PA;PAN
rio alejandro;PA;PAN
rio hato;PA;PAN
san pablo viejo abajo;PA;PAN
santiago de veraguas;PA;PAN
siogui abajo;PA;PAN
tocumen;PA;PAN
union choco;PA;PAN
villa rosario;PA;PAN
villa unida;PA;PAN
acarigua;VE;VEN
altagracia de orituco;VE;VEN
alto barinas;VE;VEN
araure;VE;VEN
barinas;VE;VEN
barquisimeto;VE;VEN
baruta;VE;VEN
biruaca;VE;VEN
bocono;VE;VEN
cabimas;VE;VEN
cabudare;VE;VEN
caicara del orinoco;VE;VEN
cantaura;VE;VEN
caracas;VE;VEN
carora;VE;VEN
carupano;VE;VEN
catia la mar;VE;VEN
chacao;VE;VEN
charallave;VE;VEN
chivacoa;VE;VEN
ciudad bolivar;VE;VEN
ciudad guayana;VE;VEN
ciudad ojeda;VE;VEN
cumana;VE;VEN
guacara;VE;VEN
guanare;VE;VEN
guarenas;VE;VEN
guasdualito;VE;VEN
guatire;VE;VEN
gueiguee;VE;VEN
los puertos de altagracia;VE;VEN
machiques;VE;VEN
maracaibo;VE;VEN
maracay;VE;VEN
mariara;VE;VEN
maturin;VE;VEN
ocumare del tuy;VE;VEN
palo negro;VE;VEN
pampan;VE;VEN
pampatar;VE;VEN
petare;VE;VEN
porlamar;VE;VEN
puerto ayacucho;VE;VEN
puerto cabello;VE;VEN
puerto la cruz;VE;VEN
punta cardon;VE;VEN
punta de mata;VE;VEN
san antonio de los altos;VE;VEN
san antonio del tachira;VE;VEN
san carlos del zulia;VE;VEN
san fernando de apure;VE;VEN
san jose de guanipa;VE;VEN
san juan de los morros;VE;VEN
santa cruz de mara;VE;VEN
santa teresa del tuy;VE;VEN
socopo;VE;VEN
tacarigua;VE;VEN
tariba;VE;VEN
tinaquillo;VE;VEN
tucupita;VE;VEN
turmero;VE;VEN
upata;VE;VEN
valera;VE;VEN
valle de la pascua;VE;VEN
villa de cura;VE;VEN
yaritagua;VE;VEN
